,,,,,,,,,,,,,,,,,
index,title,loadWord,tips1,tips2,tips3,passWord,failWord,shareWord,failWord0,failWord1,failWord2,failWord3,failWord4,failWord5,failWord6,failWord7,
12,叫醒坑爹男,让沉睡中的“睡美男”醒来吧！,自然醒最好了。,困意没了自然就醒啦。,好困啊，ZZZ~~,我又被自己帅醒了。,,坑爹男堪称“睡神”，谁能叫醒他？,啊，下手太重了！！,吓得我差点尿出来了。,哎呀，裤子又湿了。,这闹钟还让不让人愉快的睡觉啊？,,,,,
13,坑爹猜成语,又到大家最喜欢的坑爹猜成语环节了！,小白的哥哥？,大白？大白！,你长得真的好像大白哦！,我的体育老师终于不教语文了！,,小白你哥到底是谁？,BOOM！你就是个小白！,,,,,,,,
19,欲练此功,月黑风高杀人夜，问君何时磨菜刀。,月亮真够圆。,点击背包有惊喜。,是时候打开真正的秘籍了。,宝典在手，天下我有！,,葵花宝典出现，坑爹男小JJ不保！,不必自宫，亦可成功。,妈蛋，说好的不用枪呢？,平时撸太多，刚跑两步就累死了……,,,,,,
22,围住坑爹男,围住坑爹男，让他无处可逃。,这么简单围住就不叫坑爹了。,找找漏了什么道具。,注意瞒天过海，一回合多操作。,坑爹牌垃圾桶，好腻害！,,神经猫？NO，是围住坑爹男！,呵呵，就这智商还想围住本骚爷？,看我这风骚的走位，想去哪就去哪。,,,,,,,
11,打败大只佬,小肌佬干大只佬！,力量相差太大了，怎么打得过？,硬的不行，软的还不行?,灵活的来回让大只佬累倒吧!,小肌佬有大智慧！,,大只佬，有种单挑别用手！,一巴掌拍到墙上抠不出来！ ,,,,,,,,
23,加油加油,小子，大叔我来帮你加油。,小子，满油的，加毛线油啊！,加油站，加油？,好的，加油！,大叔你为何如此销魂！,,坑爹男开着土豪车，竟然加不了油？,油桶你都敢点？No Zuo No Die！,大叔你不懂我的心5555,,,,,,,
2,我要飞得更高,如何帮助坑爹男飞得更高?,千万别用气球！,倒立玩这游戏看看？,如果把把坑爹男抖掉下去呢？,我是一只小小鸟，我飞得好高好高！,,我是一只小小小小鸟，我要飞得更高！,啊~~！我的菊花。,这是坐屎的节奏啊。,,,,,,,
4,愚公移山,因为这座山，我的WIFI信息一直都不好！,你觉得一个人真能将山挖走么？,帮愚公找个老婆吧。,坑爹男这挫样，在人间找不到老婆的，天上缺男的。,小孩子玩了这关根本把持不住！,,挖掘技术哪家强，坑爹游戏坑爹男！,我一世英明，竟然被这臭脚踩死了，各种不服！,难道移座山都有错吗？为什么要劈我？,,,,,,,
1,我要回家,妈妈喊我回家吃饭啦！,远在天边，近在眼前！,"家就是Home,Home就是家！",暂停一下，里面就有Home了！,世上只有妈妈好，有妈的孩子像块宝！,,这里是哪里？我要回家55555……,叫你丫的手贱！,这是什么鬼?吓屎我了！,,,,,,,
17,蓄钱罐,存钱容易，取钱难！,密码什么的都是浮云。,点点猪尾巴看看。,把钱倒出来吧。,你到底对那只猪干了什么！？,,坑爹存钱罐的密码到底是多少？,取点钱也是蛮拼的。,,,,,,,,
